Dataset identifier code,Start Date,End Date,All aged 16 & over level,Total economically active level,Total in employment level,Unemployed level,Economically inactive level,Economic activity rate,Employment rate,Unemployment rate,Economic inactivity rate
Nov-Jan 1982,1981-11-01,1982-01-31,43146000.0,26949000.0,24169000.0,2780000.0,16197000.0,62.5,56.0,10.3,37.5
Dec-Feb 1982,1981-12-01,1982-02-28,43161000.0,26931000.0,24139000.0,2792000.0,16230000.0,62.4,55.9,10.4,37.6
Jan-Mar 1982,1982-01-01,1982-03-31,43176000.0,26923000.0,24120000.0,2803000.0,16254000.0,62.4,55.9,10.4,37.6
Feb-Apr 1982,1982-02-01,1982-04-30,43192000.0,26905000.0,24092000.0,2813000.0,16287000.0,62.3,55.8,10.5,37.7
Mar-May 1982,1982-03-01,1982-05-31,43207000.0,26892000.0,24067000.0,2824000.0,16315000.0,62.2,55.7,10.5,37.8
Apr-Jun 1982,1982-04-01,1982-06-30,43222000.0,26868000.0,24027000.0,2841000.0,16354000.0,62.2,55.6,10.6,37.8
May-Jul 1982,1982-05-01,1982-07-31,43238000.0,26848000.0,23992000.0,2857000.0,16389000.0,62.1,55.5,10.6,37.9
Jun-Aug 1982,1982-06-01,1982-08-31,43253000.0,26826000.0,23949000.0,2877000.0,16427000.0,62.0,55.4,10.7,38.0
Jul-Sep 1982,1982-07-01,1982-09-30,43274000.0,26797000.0,23901000.0,2897000.0,16476000.0,61.9,55.2,10.8,38.1
Aug-Oct 1982,1982-08-01,1982-10-31,43295000.0,26769000.0,23852000.0,2917000.0,16526000.0,61.8,55.1,10.9,38.2
Sep-Nov 1982,1982-09-01,1982-11-30,43316000.0,26741000.0,23803000.0,2938000.0,16575000.0,61.7,55.0,11.0,38.3
Oct-Dec 1982,1982-10-01,1982-12-31,43337000.0,26714000.0,23755000.0,2960000.0,16622000.0,61.6,54.8,11.1,38.4
Nov-Jan 1983,1982-11-01,1983-01-31,43357000.0,26688000.0,23712000.0,2976000.0,16670000.0,61.6,54.7,11.2,38.4
Dec-Feb 1983,1982-12-01,1983-02-28,43378000.0,26663000.0,23675000.0,2988000.0,16715000.0,61.5,54.6,11.2,38.5
Jan-Mar 1983,1983-01-01,1983-03-31,43399000.0,26649000.0,23651000.0,2998000.0,16750000.0,61.4,54.5,11.3,38.6
Feb-Apr 1983,1983-02-01,1983-04-30,43420000.0,26644000.0,23636000.0,3008000.0,16776000.0,61.4,54.4,11.3,38.6
Mar-May 1983,1983-03-01,1983-05-31,43441000.0,26653000.0,23630000.0,3023000.0,16788000.0,61.4,54.4,11.3,38.6
Apr-Jun 1983,1983-04-01,1983-06-30,43462000.0,26696000.0,23647000.0,3049000.0,16765000.0,61.4,54.4,11.4,38.6
May-Jul 1983,1983-05-01,1983-07-31,43483000.0,26762000.0,23687000.0,3074000.0,16721000.0,61.5,54.5,11.5,38.5
Jun-Aug 1983,1983-06-01,1983-08-31,43504000.0,26834000.0,23741000.0,3093000.0,16670000.0,61.7,54.6,11.5,38.3
Jul-Sep 1983,1983-07-01,1983-09-30,43527000.0,26918000.0,23809000.0,3109000.0,16608000.0,61.8,54.7,11.5,38.2
Aug-Oct 1983,1983-08-01,1983-10-31,43549000.0,27004000.0,23879000.0,3125000.0,16545000.0,62.0,54.8,11.6,38.0
Sep-Nov 1983,1983-09-01,1983-11-30,43572000.0,27094000.0,23947000.0,3146000.0,16478000.0,62.2,55.0,11.6,37.8
Oct-Dec 1983,1983-10-01,1983-12-31,43595000.0,27161000.0,23994000.0,3167000.0,16434000.0,62.3,55.0,11.7,37.7
Nov-Jan 1984,1983-11-01,1984-01-31,43618000.0,27234000.0,24044000.0,3189000.0,16384000.0,62.4,55.1,11.7,37.6
Dec-Feb 1984,1983-12-01,1984-02-29,43641000.0,27300000.0,24085000.0,3215000.0,16340000.0,62.6,55.2,11.8,37.4
Jan-Mar 1984,1984-01-01,1984-03-31,43664000.0,27368000.0,24125000.0,3243000.0,16296000.0,62.7,55.3,11.8,37.3
Feb-Apr 1984,1984-02-01,1984-04-30,43687000.0,27428000.0,24165000.0,3263000.0,16258000.0,62.8,55.3,11.9,37.2
Mar-May 1984,1984-03-01,1984-05-31,43709000.0,27485000.0,24208000.0,3278000.0,16224000.0,62.9,55.4,11.9,37.1
Apr-Jun 1984,1984-04-01,1984-06-30,43732000.0,27510000.0,24245000.0,3265000.0,16222000.0,62.9,55.4,11.9,37.1
May-Jul 1984,1984-05-01,1984-07-31,43755000.0,27530000.0,24275000.0,3256000.0,16225000.0,62.9,55.5,11.8,37.1
Jun-Aug 1984,1984-06-01,1984-08-31,43778000.0,27547000.0,24305000.0,3242000.0,16231000.0,62.9,55.5,11.8,37.1
Jul-Sep 1984,1984-07-01,1984-09-30,43801000.0,27573000.0,24335000.0,3238000.0,16228000.0,63.0,55.6,11.7,37.0
Aug-Oct 1984,1984-08-01,1984-10-31,43824000.0,27603000.0,24370000.0,3233000.0,16220000.0,63.0,55.6,11.7,37.0
Sep-Nov 1984,1984-09-01,1984-11-30,43846000.0,27629000.0,24400000.0,3229000.0,16218000.0,63.0,55.6,11.7,37.0
Oct-Dec 1984,1984-10-01,1984-12-31,43869000.0,27652000.0,24435000.0,3217000.0,16217000.0,63.0,55.7,11.6,37.0
Nov-Jan 1985,1984-11-01,1985-01-31,43892000.0,27676000.0,24470000.0,3206000.0,16216000.0,63.1,55.8,11.6,36.9
Dec-Feb 1985,1984-12-01,1985-02-28,43915000.0,27685000.0,24490000.0,3195000.0,16230000.0,63.0,55.8,11.5,37.0
Jan-Mar 1985,1985-01-01,1985-03-31,43937000.0,27695000.0,24515000.0,3180000.0,16243000.0,63.0,55.8,11.5,37.0
Feb-Apr 1985,1985-02-01,1985-04-30,43960000.0,27709000.0,24540000.0,3169000.0,16251000.0,63.0,55.8,11.4,37.0
Mar-May 1985,1985-03-01,1985-05-31,43983000.0,27710000.0,24554000.0,3156000.0,16273000.0,63.0,55.8,11.4,37.0
Apr-Jun 1985,1985-04-01,1985-06-30,44006000.0,27722000.0,24570000.0,3152000.0,16284000.0,63.0,55.8,11.4,37.0
May-Jul 1985,1985-05-01,1985-07-31,44029000.0,27735000.0,24590000.0,3145000.0,16294000.0,63.0,55.8,11.3,37.0
Jun-Aug 1985,1985-06-01,1985-08-31,44051000.0,27749000.0,24610000.0,3139000.0,16302000.0,63.0,55.9,11.3,37.0
Jul-Sep 1985,1985-07-01,1985-09-30,44069000.0,27762000.0,24625000.0,3137000.0,16307000.0,63.0,55.9,11.3,37.0
Aug-Oct 1985,1985-08-01,1985-10-31,44087000.0,27770000.0,24635000.0,3135000.0,16317000.0,63.0,55.9,11.3,37.0
Sep-Nov 1985,1985-09-01,1985-11-30,44104000.0,27783000.0,24650000.0,3133000.0,16321000.0,63.0,55.9,11.3,37.0
Oct-Dec 1985,1985-10-01,1985-12-31,44122000.0,27795000.0,24660000.0,3135000.0,16328000.0,63.0,55.9,11.3,37.0
Nov-Jan 1986,1985-11-01,1986-01-31,44140000.0,27798000.0,24660000.0,3138000.0,16342000.0,63.0,55.9,11.3,37.0
Dec-Feb 1986,1985-12-01,1986-02-28,44158000.0,27813000.0,24670000.0,3143000.0,16345000.0,63.0,55.9,11.3,37.0
Jan-Mar 1986,1986-01-01,1986-03-31,44175000.0,27820000.0,24670000.0,3150000.0,16356000.0,63.0,55.8,11.3,37.0
Feb-Apr 1986,1986-02-01,1986-04-30,44193000.0,27826000.0,24675000.0,3151000.0,16367000.0,63.0,55.8,11.3,37.0
Mar-May 1986,1986-03-01,1986-05-31,44211000.0,27837000.0,24683000.0,3154000.0,16373000.0,63.0,55.8,11.3,37.0
Apr-Jun 1986,1986-04-01,1986-06-30,44228000.0,27853000.0,24695000.0,3159000.0,16375000.0,63.0,55.8,11.3,37.0
May-Jul 1986,1986-05-01,1986-07-31,44246000.0,27888000.0,24720000.0,3168000.0,16358000.0,63.0,55.9,11.4,37.0
Jun-Aug 1986,1986-06-01,1986-08-31,44264000.0,27915000.0,24740000.0,3175000.0,16348000.0,63.1,55.9,11.4,36.9
Jul-Sep 1986,1986-07-01,1986-09-30,44282000.0,27947000.0,24770000.0,3177000.0,16335000.0,63.1,55.9,11.4,36.9
Aug-Oct 1986,1986-08-01,1986-10-31,44299000.0,27971000.0,24800000.0,3171000.0,16328000.0,63.1,56.0,11.3,36.9
Sep-Nov 1986,1986-09-01,1986-11-30,44317000.0,27995000.0,24830000.0,3165000.0,16323000.0,63.2,56.0,11.3,36.8
Oct-Dec 1986,1986-10-01,1986-12-31,44335000.0,28006000.0,24850000.0,3156000.0,16330000.0,63.2,56.1,11.3,36.8
Nov-Jan 1987,1986-11-01,1987-01-31,44353000.0,28025000.0,24875000.0,3150000.0,16328000.0,63.2,56.1,11.2,36.8
Dec-Feb 1987,1986-12-01,1987-02-28,44371000.0,28034000.0,24900000.0,3134000.0,16337000.0,63.2,56.1,11.2,36.8
Jan-Mar 1987,1987-01-01,1987-03-31,44389000.0,28038000.0,24925000.0,3113000.0,16351000.0,63.2,56.2,11.1,36.8
